transaction_id,investor_id,amfi_code,date,transaction_type,amount_rupees,amount_crore,state,age_group,age,city,city_tier,net_amount_crore,data_status
TX000371,INV006103,120564,2022-01-01,Lumpsum,373825.970000,0.037383,Karnataka,36-45,43,Bengaluru,Tier 1,0.037383,Deterministic illustrative investor transaction
TX013621,INV008417,148404,2022-01-01,SIP,5839.090000,0.000584,West Bengal,18-25,24,Kolkata,Tier 1,0.000584,Deterministic illustrative investor transaction
TX007326,INV000990,141925,2022-01-01,Lumpsum,44903.450000,0.004490,Gujarat,26-35,27,Ahmedabad,Tier 2,0.004490,Deterministic illustrative investor transaction
TX012580,INV005693,118955,2022-01-01,Lumpsum,56685.050000,0.005669,Maharashtra,56+,60,Mumbai,Tier 1,0.005669,Deterministic illustrative investor transaction
TX009262,INV001454,118535,2022-01-01,SIP,50782.490000,0.005078,Gujarat,36-45,43,Ahmedabad,Tier 2,0.005078,Deterministic illustrative investor transaction
TX006542,INV000550,118275,2022-01-01,Lumpsum,119170.050000,0.011917,Gujarat,36-45,36,Other City,Tier 3,0.011917,Deterministic illustrative investor transaction
TX022352,INV001172,129046,2022-01-01,Redemption,25991.260000,0.002599,Delhi,56+,63,New Delhi,Tier 1,-0.002599,Deterministic illustrative investor transaction
TX008292,INV004814,118269,2022-01-01,SIP,6084.120000,0.000608,Uttar Pradesh,36-45,44,Lucknow,Tier 2,0.000608,Deterministic illustrative investor transaction
TX014553,INV001172,120046,2022-01-01,Redemption,91395.210000,0.009140,Kerala,46-55,47,Kochi,Tier 2,-0.009140,Deterministic illustrative investor transaction
TX006622,INV004114,141925,2022-01-01,Lumpsum,82662.530000,0.008266,Rajasthan,26-35,32,Jaipur,Tier 2,0.008266,Deterministic illustrative investor transaction
TX010666,INV004344,122639,2022-01-01,Lumpsum,70189.890000,0.007019,Gujarat,46-55,46,Ahmedabad,Tier 2,0.007019,Deterministic illustrative investor transaction
TX011929,INV002730,118955,2022-01-01,SIP,6834.460000,0.000683,Karnataka,46-55,49,Bengaluru,Tier 1,0.000683,Deterministic illustrative investor transaction
TX014954,INV006395,120586,2022-01-02,SIP,3456.670000,0.000346,Maharashtra,26-35,31,Mumbai,Tier 1,0.000346,Deterministic illustrative investor transaction
TX010038,INV003120,119076,2022-01-02,SIP,8418.440000,0.000842,Uttar Pradesh,26-35,33,Lucknow,Tier 2,0.000842,Deterministic illustrative investor transaction
